author_id,community
https://openalex.org/A5090665793,0
https://openalex.org/A5113226689,0
https://openalex.org/A5058815871,3
https://openalex.org/A5040821463,3
https://openalex.org/A5000679279,3
https://openalex.org/A5082742221,0
https://openalex.org/A5002798141,0
https://openalex.org/A5031463408,0
https://openalex.org/A5041923525,0
https://openalex.org/A5020189261,0
https://openalex.org/A5063124604,0
https://openalex.org/A5056499434,0
https://openalex.org/A5066696247,3
https://openalex.org/A5006700143,4
https://openalex.org/A5081429241,3
https://openalex.org/A5078651528,3
https://openalex.org/A5020533147,4
https://openalex.org/A5076651767,4
https://openalex.org/A5052536455,4
https://openalex.org/A5021501103,4
https://openalex.org/A5080265907,4
https://openalex.org/A5029418921,3
https://openalex.org/A5110467021,3
https://openalex.org/A5001893057,3
https://openalex.org/A5035398709,0
https://openalex.org/A5043471979,6
https://openalex.org/A5103570675,6
https://openalex.org/A5075324044,6
https://openalex.org/A5085927300,6
https://openalex.org/A5027036879,3
https://openalex.org/A5020965594,3
https://openalex.org/A5106235930,3
https://openalex.org/A5048789742,3
https://openalex.org/A5002709735,8
https://openalex.org/A5030571651,8
https://openalex.org/A5100338921,8
https://openalex.org/A5113600509,6
https://openalex.org/A5038521974,6
https://openalex.org/A5035983004,6
https://openalex.org/A5025186963,9
https://openalex.org/A5044125536,9
https://openalex.org/A5081982677,9
https://openalex.org/A5083199670,8
https://openalex.org/A5018408477,6
https://openalex.org/A5022873790,6
https://openalex.org/A5070497645,10
https://openalex.org/A5088507100,10
https://openalex.org/A5043661073,10
https://openalex.org/A5002312975,10
https://openalex.org/A5091065215,10
https://openalex.org/A5033827593,10
https://openalex.org/A5053520475,11
https://openalex.org/A5076775867,11
https://openalex.org/A5045161607,11
https://openalex.org/A5109219790,11
https://openalex.org/A5001341196,11
https://openalex.org/A5040455173,6
https://openalex.org/A5089574004,6
https://openalex.org/A5077846424,6
https://openalex.org/A5050428872,6
https://openalex.org/A5085405814,6
https://openalex.org/A5044153684,6
https://openalex.org/A5075298587,6
https://openalex.org/A5055710645,3
https://openalex.org/A5071725999,0
https://openalex.org/A5088965162,0
https://openalex.org/A5051257652,3
https://openalex.org/A5075414122,3
https://openalex.org/A5038976962,3
https://openalex.org/A5025085845,6
https://openalex.org/A5045951634,6
https://openalex.org/A5103485800,3
https://openalex.org/A5060904065,9
https://openalex.org/A5003176624,6
https://openalex.org/A5056032814,6
https://openalex.org/A5109960009,6
https://openalex.org/A5033172946,4
https://openalex.org/A5047847314,4
https://openalex.org/A5021261847,4
https://openalex.org/A5033935340,3
https://openalex.org/A5002658393,3
https://openalex.org/A5103216480,6
https://openalex.org/A5073091089,6
https://openalex.org/A5032027675,6
https://openalex.org/A5043419445,6
https://openalex.org/A5088689984,6
https://openalex.org/A5069166748,6
https://openalex.org/A5101938454,6
https://openalex.org/A5041703382,6
https://openalex.org/A5065688873,6
https://openalex.org/A5100378605,3
https://openalex.org/A5033272403,9
https://openalex.org/A5045632494,9
https://openalex.org/A5110586816,9
